Sensore,Data,Temperatura
S6,2020-07-20,27
S7,2020-07-20,43
S8,2020-07-20,64
S9,2020-07-20,58
S10,2020-07-20,24
S11,2020-07-20,27
S12,2020-07-20,54
S13,2020-07-20,33
S14,2020-07-20,42
S15,2020-07-20,48
S1,2020-07-21,35
S2,2020-07-21,29
S3,2020-07-21,13
S4,2020-07-21,25
S5,2020-07-21,21
S6,2020-07-21,49
S7,2020-07-21,10
S8,2020-07-21,50
S9,2020-07-21,16
S10,2020-07-21,43
S11,2020-07-21,55
S12,2020-07-21,15
S13,2020-07-21,24
S14,2020-07-21,13
S15,2020-07-21,63
S1,2020-07-22,42
S2,2020-07-22,51
S3,2020-07-22,63
S4,2020-07-22,62
S5,2020-07-22,11
S6,2020-07-22,40
S7,2020-07-22,64
S8,2020-07-22,44
S9,2020-07-22,27
S10,2020-07-22,12
S11,2020-07-22,14
S12,2020-07-22,24
S13,2020-07-22,59
S14,2020-07-22,31
S15,2020-07-22,41
S1,2020-07-23,25
S2,2020-07-23,31
S3,2020-07-23,53
S4,2020-07-23,53
S5,2020-07-23,52
S6,2020-07-23,55
S7,2020-07-23,20
S8,2020-07-23,40
S9,2020-07-23,17
S10,2020-07-23,27
S11,2020-07-23,23
S12,2020-07-23,26
S13,2020-07-23,46
S14,2020-07-23,28
S15,2020-07-23,12
S1,2020-07-24,22
S2,2020-07-24,29
S3,2020-07-24,60
S4,2020-07-24,60
S5,2020-07-24,47
S6,2020-07-24,40
S7,2020-07-24,55
S8,2020-07-24,36
S9,2020-07-24,41
S10,2020-07-24,17
S11,2020-07-24,36
S12,2020-07-24,49
S13,2020-07-24,50
S14,2020-07-24,23
S15,2020-07-24,16
S1,2020-07-25,34
S2,2020-07-25,16
S3,2020-07-25,29
S4,2020-07-25,39
S5,2020-07-25,28
S6,2020-07-25,34
S7,2020-07-25,26
S8,2020-07-25,35
S9,2020-07-25,26
S10,2020-07-25,17
S11,2020-07-25,32
S12,2020-07-25,20
S13,2020-07-25,56
S14,2020-07-25,44
S15,2020-07-25,53
S1,2020-07-26,24
S2,2020-07-26,27
S3,2020-07-26,26
S4,2020-07-26,25
S5,2020-07-26,54
S6,2020-07-26,50
S7,2020-07-26,29
S8,2020-07-26,63
S9,2020-07-26,48
S10,2020-07-26,10
S11,2020-07-26,34
S12,2020-07-26,59
S13,2020-07-26,22
S14,2020-07-26,45
S15,2020-07-26,26
S1,2020-07-27,16
S2,2020-07-27,34
S3,2020-07-27,27
S4,2020-07-27,10
S5,2020-07-27,57
S6,2020-07-27,16
S7,2020-07-27,61
S8,2020-07-27,16
S9,2020-07-27,64
S10,2020-07-27,42
S11,2020-07-27,60
S12,2020-07-27,58
S13,2020-07-27,44
S14,2020-07-27,53
S15,2020-07-27,25
S1,2020-07-28,30
S2,2020-07-28,64
S3,2020-07-28,56
S4,2020-07-28,52
S5,2020-07-28,58
S6,2020-07-28,18
S7,2020-07-28,32
S8,2020-07-28,35
S9,2020-07-28,33
S10,2020-07-28,31
S11,2020-07-28,15
S12,2020-07-28,18
S13,2020-07-28,45
S14,2020-07-28,38
S15,2020-07-28,59
S1,2020-07-29,39
S2,2020-07-29,14
S3,2020-07-29,54
S4,2020-07-29,64
S5,2020-07-29,11
S6,2020-07-29,62
S7,2020-07-29,58
S8,2020-07-29,55
S9,2020-07-29,52
S10,2020-07-29,46
S11,2020-07-29,27
S12,2020-07-29,21
S13,2020-07-29,26
S14,2020-07-29,48
S15,2020-07-29,59
S1,2020-07-30,56
S2,2020-07-30,49
S3,2020-07-30,20
S4,2020-07-30,33
S5,2020-07-30,45
S6,2020-07-30,34
S7,2020-07-30,13
S8,2020-07-30,34
S9,2020-07-30,52
S10,2020-07-30,18
S11,2020-07-30,48
S12,2020-07-30,64
S13,2020-07-30,59
S14,2020-07-30,44
S15,2020-07-30,52
S1,2020-07-31,63
S2,2020-07-31,26
S3,2020-07-31,43
S4,2020-07-31,15
S5,2020-07-31,12
S6,2020-07-31,55
S7,2020-07-31,14
S8,2020-07-31,45
S9,2020-07-31,51
S10,2020-07-31,27
S11,2020-07-31,37
S12,2020-07-31,18
S13,2020-07-31,14
S14,2020-07-31,16
S15,2020-07-31,40
S1,2020-08-01,62
S2,2020-08-01,16
S3,2020-08-01,51
S4,2020-08-01,38
S5,2020-08-01,39
S6,2020-08-01,31
S7,2020-08-01,63
S8,2020-08-01,21
S9,2020-08-01,57
S10,2020-08-01,34
S11,2020-08-01,36
S12,2020-08-01,45
S13,2020-08-01,12
S14,2020-08-01,56
S15,2020-08-01,28
S1,2020-08-02,63
S2,2020-08-02,63
S3,2020-08-02,21
S4,2020-08-02,64
S5,2020-08-02,48
S6,2020-08-02,11
S7,2020-08-02,42
S8,2020-08-02,21
S9,2020-08-02,45
S10,2020-08-02,13
S11,2020-08-02,52
S12,2020-08-02,14
S13,2020-08-02,33
S14,2020-08-02,16
S15,2020-08-02,18
S1,2020-08-03,26
S2,2020-08-03,63
S3,2020-08-03,28
S4,2020-08-03,21
S5,2020-08-03,20
S6,2020-08-03,42
S7,2020-08-03,22
S8,2020-08-03,30
S9,2020-08-03,14
S10,2020-08-03,31
S11,2020-08-03,64
S12,2020-08-03,14
S13,2020-08-03,50
S14,2020-08-03,46
S15,2020-08-03,41
S1,2020-08-04,19
S2,2020-08-04,12
S3,2020-08-04,53
S4,2020-08-04,33
S5,2020-08-04,29
S6,2020-08-04,38
S7,2020-08-04,61
S8,2020-08-04,14
S9,2020-08-04,32
S10,2020-08-04,38
S11,2020-08-04,29
S12,2020-08-04,59
S13,2020-08-04,16
S14,2020-08-04,35
S15,2020-08-04,51
S1,2020-08-05,26
S2,2020-08-05,39
S3,2020-08-05,15
S4,2020-08-05,49
S5,2020-08-05,17
S6,2020-08-05,37
S7,2020-08-05,27
S8,2020-08-05,55
S9,2020-08-05,45
S10,2020-08-05,50
S11,2020-08-05,50
S12,2020-08-05,43
S13,2020-08-05,17
S14,2020-08-05,43
S15,2020-08-05,48
S1,2020-08-06,62
S2,2020-08-06,57
S3,2020-08-06,39
S4,2020-08-06,13
S5,2020-08-06,59
S6,2020-08-06,50
S7,2020-08-06,25
S8,2020-08-06,64
S9,2020-08-06,52
S10,2020-08-06,45
S11,2020-08-06,29
S12,2020-08-06,59
S13,2020-08-06,60
S14,2020-08-06,47
S15,2020-08-06,56
S1,2020-08-07,47
S2,2020-08-07,15
S3,2020-08-07,60
S4,2020-08-07,27
S5,2020-08-07,14
S6,2020-08-07,35
S7,2020-08-07,64
S8,2020-08-07,11
S9,2020-08-07,38
S10,2020-08-07,14
S11,2020-08-07,57
S12,2020-08-07,21
S13,2020-08-07,18
S14,2020-08-07,47
S15,2020-08-07,43
S1,2020-08-08,59
S2,2020-08-08,54
S3,2020-08-08,36
S4,2020-08-08,48
S5,2020-08-08,41
S6,2020-08-08,37
S7,2020-08-08,29
S8,2020-08-08,12
S9,2020-08-08,40
S10,2020-08-08,11
S11,2020-08-08,10
S12,2020-08-08,39
S13,2020-08-08,27
S14,2020-08-08,13
S15,2020-08-08,53
S1,2020-08-09,43
S2,2020-08-09,32
S3,2020-08-09,17
S4,2020-08-09,54
S5,2020-08-09,13
S6,2020-08-09,45
S7,2020-08-09,48
S8,2020-08-09,54
S9,2020-08-09,38
S10,2020-08-09,23
S11,2020-08-09,63
S12,2020-08-09,55
S13,2020-08-09,11
S14,2020-08-09,64
S15,2020-08-09,11
S1,2020-08-10,38
S2,2020-08-10,17
S3,2020-08-10,26
S4,2020-08-10,19
S5,2020-08-10,51
S6,2020-08-10,40
S7,2020-08-10,32
S8,2020-08-10,21
S9,2020-08-10,16
S10,2020-08-10,28
S11,2020-08-10,27
S12,2020-08-10,13
S13,2020-08-10,29
S14,2020-08-10,26
S15,2020-08-10,13
S1,2020-08-11,60
S2,2020-08-11,46
S3,2020-08-11,62
S4,2020-08-11,50
S5,2020-08-11,36
S6,2020-08-11,35
S7,2020-08-11,14
S8,2020-08-11,28
S9,2020-08-11,44
S10,2020-08-11,63
S11,2020-08-11,20
S12,2020-08-11,64
S13,2020-08-11,62
S14,2020-08-11,35
S15,2020-08-11,43
S1,2020-08-12,47
S2,2020-08-12,28
S3,2020-08-12,13
S4,2020-08-12,38
S5,2020-08-12,37
S6,2020-08-12,58
S7,2020-08-12,23
S8,2020-08-12,18
S9,2020-08-12,27
S10,2020-08-12,22
S11,2020-08-12,20
S12,2020-08-12,20
S13,2020-08-12,11
S14,2020-08-12,35
S15,2020-08-12,50
S1,2020-08-13,41
S2,2020-08-13,29
S3,2020-08-13,38
S4,2020-08-13,34
S5,2020-08-13,28
S6,2020-08-13,26
S7,2020-08-13,57
S8,2020-08-13,26
S9,2020-08-13,37
S10,2020-08-13,41
S11,2020-08-13,34
S12,2020-08-13,53
S13,2020-08-13,47
S14,2020-08-13,20
S15,2020-08-13,40
S1,2020-08-14,40
S2,2020-08-14,35
S3,2020-08-14,51
S4,2020-08-14,37
S5,2020-08-14,46
S6,2020-08-14,63
S7,2020-08-14,64
S8,2020-08-14,55
S9,2020-08-14,53
S10,2020-08-14,20
S11,2020-08-14,47
S12,2020-08-14,37
S13,2020-08-14,45
S14,2020-08-14,37
S15,2020-08-14,26
S1,2020-08-15,24
S2,2020-08-15,13
S3,2020-08-15,57
S4,2020-08-15,58
S5,2020-08-15,31
S6,2020-08-15,55
S7,2020-08-15,36
S8,2020-08-15,37
S9,2020-08-15,16
S10,2020-08-15,26
S11,2020-08-15,54
S12,2020-08-15,12
S13,2020-08-15,40
S14,2020-08-15,62
S15,2020-08-15,13
S1,2020-08-16,14
S2,2020-08-16,41
S3,2020-08-16,63
S4,2020-08-16,51
S5,2020-08-16,47
S6,2020-08-16,49
S7,2020-08-16,33
S8,2020-08-16,38
S9,2020-08-16,54
S10,2020-08-16,51
S11,2020-08-16,42
S12,2020-08-16,39
S13,2020-08-16,50
S14,2020-08-16,23
S15,2020-08-16,46
S1,2020-08-17,54
S2,2020-08-17,22
S3,2020-08-17,53
S4,2020-08-17,21
S5,2020-08-17,27
S6,2020-08-17,31
S7,2020-08-17,60
S8,2020-08-17,53
S9,2020-08-17,54
S10,2020-08-17,50
S11,2020-08-17,13
S12,2020-08-17,62
S13,2020-08-17,44
S14,2020-08-17,20
S15,2020-08-17,56
S1,2020-08-18,61
S2,2020-08-18,33
S3,2020-08-18,58
S4,2020-08-18,49
S5,2020-08-18,16
S6,2020-08-18,16
S7,2020-08-18,39
S8,2020-08-18,59
S9,2020-08-18,54
S10,2020-08-18,41
S11,2020-08-18,56
S12,2020-08-18,39
S13,2020-08-18,13
S14,2020-08-18,16
S15,2020-08-18,53
S1,2020-08-19,26
S2,2020-08-19,51
S3,2020-08-19,23
S4,2020-08-19,35
S5,2020-08-19,37
S6,2020-08-19,42
S7,2020-08-19,23
S8,2020-08-19,28
S9,2020-08-19,44
S10,2020-08-19,47
S11,2020-08-19,18
S12,2020-08-19,52
S13,2020-08-19,18
S14,2020-08-19,11
S15,2020-08-19,43
S1,2020-08-20,52
S2,2020-08-20,53
S3,2020-08-20,28
S4,2020-08-20,62
S5,2020-08-20,55
S6,2020-08-20,19
S7,2020-08-20,46
S8,2020-08-20,10
S9,2020-08-20,17
S10,2020-08-20,40
S11,2020-08-20,25
S12,2020-08-20,28
S13,2020-08-20,63
S14,2020-08-20,45
S15,2020-08-20,36
S1,2020-08-21,57
S2,2020-08-21,57
S3,2020-08-21,46
S4,2020-08-21,11
S5,2020-08-21,34
S6,2020-08-21,27
S7,2020-08-21,48
S8,2020-08-21,18
S9,2020-08-21,47
S10,2020-08-21,24
S11,2020-08-21,47
S12,2020-08-21,14
S13,2020-08-21,23
S14,2020-08-21,12
S15,2020-08-21,63
S1,2020-08-22,28
S2,2020-08-22,30
S3,2020-08-22,57
S4,2020-08-22,21
S5,2020-08-22,54
S6,2020-08-22,12
S7,2020-08-22,20
S8,2020-08-22,15
S9,2020-08-22,26
S10,2020-08-22,44
S11,2020-08-22,44
S12,2020-08-22,50
S13,2020-08-22,16
S14,2020-08-22,60
S15,2020-08-22,22
S1,2020-08-23,23
S2,2020-08-23,25
S3,2020-08-23,48
S4,2020-08-23,18
S5,2020-08-23,55
S6,2020-08-23,25
S7,2020-08-23,16
S8,2020-08-23,17
S9,2020-08-23,42
S10,2020-08-23,25
S11,2020-08-23,13
S12,2020-08-23,45
S13,2020-08-23,45
S14,2020-08-23,47
S15,2020-08-23,17
S1,2020-08-24,14
S2,2020-08-24,33
S3,2020-08-24,62
S4,2020-08-24,18
S5,2020-08-24,21
S6,2020-08-24,59
S7,2020-08-24,35
S8,2020-08-24,52
S9,2020-08-24,56
S10,2020-08-24,33
S11,2020-08-24,46
S12,2020-08-24,51
S13,2020-08-24,29
S14,2020-08-24,31
S15,2020-08-24,54
S1,2020-08-25,42
S2,2020-08-25,42
S3,2020-08-25,22
S4,2020-08-25,35
S5,2020-08-25,10
S6,2020-08-25,32
S7,2020-08-25,31
S8,2020-08-25,14
S9,2020-08-25,22
S10,2020-08-25,47
S11,2020-08-25,21
S12,2020-08-25,23
S13,2020-08-25,25
S14,2020-08-25,60
S15,2020-08-25,50
S1,2020-08-26,32
S2,2020-08-26,40
S3,2020-08-26,33
S4,2020-08-26,18
S5,2020-08-26,40
S6,2020-08-26,21
S7,2020-08-26,52
S8,2020-08-26,62
S9,2020-08-26,48
S10,2020-08-26,28
S11,2020-08-26,53
S12,2020-08-26,38
S13,2020-08-26,56
S14,2020-08-26,49
S15,2020-08-26,18
S1,2020-08-27,39
S2,2020-08-27,51
S3,2020-08-27,50
S4,2020-08-27,52
S5,2020-08-27,48
S6,2020-08-27,35
S7,2020-08-27,32
S8,2020-08-27,19
S9,2020-08-27,46
S10,2020-08-27,50
S11,2020-08-27,47
S12,2020-08-27,28
S13,2020-08-27,50
S14,2020-08-27,36
S15,2020-08-27,10
S1,2020-08-28,45
S2,2020-08-28,20
S3,2020-08-28,56
S4,2020-08-28,15
S5,2020-08-28,11
S6,2020-08-28,16
S7,2020-08-28,28
S8,2020-08-28,20
S9,2020-08-28,56
S10,2020-08-28,42
S11,2020-08-28,54
S12,2020-08-28,44
S13,2020-08-28,38
S14,2020-08-28,17
S15,2020-08-28,22
S1,2020-08-29,59
S2,2020-08-29,40
S3,2020-08-29,29
S4,2020-08-29,13
S5,2020-08-29,17
S6,2020-08-29,34
S7,2020-08-29,37
S8,2020-08-29,37
S9,2020-08-29,21
S10,2020-08-29,25
S11,2020-08-29,64
S12,2020-08-29,30
S13,2020-08-29,51
S14,2020-08-29,33
S15,2020-08-29,57
S1,2020-08-30,57
S2,2020-08-30,12
S3,2020-08-30,36
S4,2020-08-30,48
S5,2020-08-30,47
S6,2020-08-30,43
S7,2020-08-30,46
S8,2020-08-30,50
S9,2020-08-30,48
S10,2020-08-30,12
S11,2020-08-30,21
S12,2020-08-30,40
S13,2020-08-30,59
S14,2020-08-30,19
S15,2020-08-30,59
S1,2020-08-31,55
S2,2020-08-31,58
S3,2020-08-31,12
S4,2020-08-31,34
S5,2020-08-31,56
S6,2020-08-31,17
S7,2020-08-31,64
S8,2020-08-31,46
S9,2020-08-31,28
S10,2020-08-31,40
S11,2020-08-31,17
S12,2020-08-31,47
S13,2020-08-31,44
S14,2020-08-31,55
S15,2020-08-31,11
S1,2020-09-01,51
S2,2020-09-01,41
S3,2020-09-01,52
S4,2020-09-01,63
S5,2020-09-01,50
S6,2020-09-01,52
S7,2020-09-01,18
S8,2020-09-01,55
S9,2020-09-01,34
S10,2020-09-01,43
S11,2020-09-01,22
S12,2020-09-01,54
S13,2020-09-01,46
S14,2020-09-01,11
S15,2020-09-01,61
S1,2020-09-02,59
S2,2020-09-02,43
S3,2020-09-02,27
S4,2020-09-02,27
S5,2020-09-02,34
S6,2020-09-02,16
S7,2020-09-02,27
S8,2020-09-02,26
S9,2020-09-02,41
S10,2020-09-02,50
S11,2020-09-02,58
S12,2020-09-02,30
S13,2020-09-02,17
S14,2020-09-02,18
S15,2020-09-02,39
S1,2020-09-03,61
S2,2020-09-03,12
S3,2020-09-03,60
S4,2020-09-03,46
S5,2020-09-03,26
S6,2020-09-03,44
S7,2020-09-03,53
S8,2020-09-03,61
S9,2020-09-03,34
S10,2020-09-03,17
S11,2020-09-03,47
S12,2020-09-03,12
S13,2020-09-03,42
S14,2020-09-03,55
S15,2020-09-03,44
S1,2020-09-04,27
S2,2020-09-04,27
S3,2020-09-04,45
S4,2020-09-04,31
S5,2020-09-04,46
S6,2020-09-04,39
S7,2020-09-04,29
S8,2020-09-04,27
S9,2020-09-04,31
S10,2020-09-04,60
S11,2020-09-04,33
S12,2020-09-04,25
S13,2020-09-04,20
S14,2020-09-04,22
S15,2020-09-04,56
S1,2020-09-05,31
S2,2020-09-05,11
S3,2020-09-05,46
S4,2020-09-05,60
S5,2020-09-05,47
S6,2020-09-05,19
S7,2020-09-05,59
S8,2020-09-05,10
S9,2020-09-05,50
S10,2020-09-05,27
S11,2020-09-05,15
S12,2020-09-05,46
S13,2020-09-05,58
S14,2020-09-05,19
S15,2020-09-05,51
S1,2020-09-06,13
S2,2020-09-06,49
S3,2020-09-06,36
S4,2020-09-06,62
S5,2020-09-06,33
S6,2020-09-06,41
S7,2020-09-06,50
S8,2020-09-06,50
S9,2020-09-06,37
S10,2020-09-06,64
S11,2020-09-06,41
S12,2020-09-06,50
S13,2020-09-06,38
S14,2020-09-06,51
S15,2020-09-06,57
S1,2020-09-07,29
S2,2020-09-07,42
S3,2020-09-07,48
S4,2020-09-07,43
S5,2020-09-07,50
S6,2020-09-07,46
S7,2020-09-07,31
S8,2020-09-07,47
S9,2020-09-07,17
S10,2020-09-07,34
S11,2020-09-07,32
S12,2020-09-07,27
S13,2020-09-07,59
S14,2020-09-07,14
S15,2020-09-07,40
S1,2020-09-08,58
S2,2020-09-08,36
S3,2020-09-08,17
S4,2020-09-08,44
S5,2020-09-08,56
S6,2020-09-08,48
S7,2020-09-08,53
S8,2020-09-08,23
S9,2020-09-08,54
S10,2020-09-08,25
S11,2020-09-08,46
S12,2020-09-08,25
S13,2020-09-08,19
S14,2020-09-08,60
S15,2020-09-08,16
S1,2020-09-09,34
S2,2020-09-09,31
S3,2020-09-09,24
S4,2020-09-09,57
S5,2020-09-09,62
S6,2020-09-09,38
S7,2020-09-09,62
S8,2020-09-09,24
S9,2020-09-09,34
S10,2020-09-09,15
S11,2020-09-09,47
S12,2020-09-09,12
S13,2020-09-09,28
S14,2020-09-09,38
S15,2020-09-09,10
S1,2020-09-10,23
S2,2020-09-10,55
S3,2020-09-10,46
S4,2020-09-10,61
S5,2020-09-10,16
S6,2020-09-10,15
S7,2020-09-10,43
S8,2020-09-10,59
S9,2020-09-10,59
S10,2020-09-10,19
S11,2020-09-10,40
S12,2020-09-10,29
S13,2020-09-10,59
S14,2020-09-10,27
S15,2020-09-10,14
S1,2020-09-11,31
S2,2020-09-11,21
S3,2020-09-11,52
S4,2020-09-11,11
S5,2020-09-11,64
S6,2020-09-11,11
S7,2020-09-11,13
S8,2020-09-11,11
S9,2020-09-11,16
S10,2020-09-11,11
S11,2020-09-11,60
S12,2020-09-11,21
S13,2020-09-11,47
S14,2020-09-11,38
S15,2020-09-11,18
S1,2020-09-12,46
S2,2020-09-12,35
S3,2020-09-12,49
S4,2020-09-12,53
S5,2020-09-12,11
S6,2020-09-12,55
S7,2020-09-12,43
S8,2020-09-12,23
S9,2020-09-12,54
S10,2020-09-12,11
S11,2020-09-12,56
S12,2020-09-12,37
S13,2020-09-12,29
S14,2020-09-12,48
S15,2020-09-12,32
S1,2020-09-13,19
S2,2020-09-13,13
S3,2020-09-13,62
S4,2020-09-13,30
S5,2020-09-13,49
S6,2020-09-13,36
S7,2020-09-13,24
S8,2020-09-13,27
S9,2020-09-13,39
S10,2020-09-13,63
S11,2020-09-13,20
S12,2020-09-13,54
S13,2020-09-13,39
S14,2020-09-13,60
S15,2020-09-13,20
S1,2020-09-14,58
S2,2020-09-14,60
S3,2020-09-14,30
S4,2020-09-14,51
S5,2020-09-14,37
S6,2020-09-14,15
S7,2020-09-14,44
S8,2020-09-14,15
S9,2020-09-14,26
S10,2020-09-14,23
S11,2020-09-14,52
S12,2020-09-14,63
S13,2020-09-14,63
S14,2020-09-14,64
S15,2020-09-14,17
S1,2020-09-15,39
S2,2020-09-15,49
S3,2020-09-15,27
S4,2020-09-15,49
S5,2020-09-15,56
S6,2020-09-15,57
S7,2020-09-15,24
S8,2020-09-15,27
S9,2020-09-15,54
S10,2020-09-15,47
S11,2020-09-15,31
S12,2020-09-15,17
S13,2020-09-15,20
S14,2020-09-15,55
S15,2020-09-15,56
S1,2020-09-16,11
S2,2020-09-16,14
S3,2020-09-16,27
S4,2020-09-16,43
S5,2020-09-16,17
S6,2020-09-16,61
S7,2020-09-16,16
S8,2020-09-16,43
S9,2020-09-16,20
S10,2020-09-16,26
S11,2020-09-16,40
S12,2020-09-16,62
S13,2020-09-16,45
S14,2020-09-16,16
S15,2020-09-16,62
S1,2020-09-17,38
S2,2020-09-17,26
S3,2020-09-17,27
S4,2020-09-17,31
S5,2020-09-17,34
S6,2020-09-17,36
S7,2020-09-17,36
S8,2020-09-17,55
S9,2020-09-17,13
S10,2020-09-17,28
S11,2020-09-17,44
S12,2020-09-17,42
S13,2020-09-17,40
S14,2020-09-17,13
S15,2020-09-17,16
S1,2020-09-18,63
S2,2020-09-18,33
S3,2020-09-18,25
S4,2020-09-18,35
S5,2020-09-18,22
S6,2020-09-18,47
S7,2020-09-18,45
S8,2020-09-18,29
S9,2020-09-18,56
S10,2020-09-18,21
S11,2020-09-18,32
S12,2020-09-18,15
S13,2020-09-18,16
S14,2020-09-18,32
S15,2020-09-18,26
S1,2020-09-19,59
S2,2020-09-19,43
S3,2020-09-19,20
S4,2020-09-19,56
S5,2020-09-19,19
S6,2020-09-19,14
S7,2020-09-19,54
S8,2020-09-19,54
S9,2020-09-19,30
S10,2020-09-19,29
S11,2020-09-19,39
S12,2020-09-19,23
S13,2020-09-19,24
S14,2020-09-19,24
S15,2020-09-19,38
S1,2020-09-20,28
S2,2020-09-20,41
S3,2020-09-20,39
S4,2020-09-20,14
S5,2020-09-20,28
S6,2020-09-20,16
S7,2020-09-20,47
S8,2020-09-20,20
S9,2020-09-20,59
S10,2020-09-20,24
S11,2020-09-20,57
S12,2020-09-20,61
S13,2020-09-20,36
S14,2020-09-20,19
S15,2020-09-20,11
S1,2020-09-21,30
S2,2020-09-21,29
S3,2020-09-21,32
S4,2020-09-21,51
S5,2020-09-21,34
S6,2020-09-21,10
S7,2020-09-21,31
S8,2020-09-21,49
S9,2020-09-21,59
S10,2020-09-21,11
S11,2020-09-21,18
S12,2020-09-21,44
S13,2020-09-21,59
S14,2020-09-21,15
S15,2020-09-21,47
S1,2020-09-22,33
S2,2020-09-22,30
S3,2020-09-22,15
S4,2020-09-22,27
S5,2020-09-22,57
S6,2020-09-22,56
S7,2020-09-22,41
S8,2020-09-22,12
S9,2020-09-22,14
S10,2020-09-22,19
S11,2020-09-22,22
S12,2020-09-22,32
S13,2020-09-22,26
S14,2020-09-22,41
S15,2020-09-22,26
S1,2020-09-23,17
S2,2020-09-23,28
S3,2020-09-23,44
S4,2020-09-23,29
S5,2020-09-23,64
S6,2020-09-23,19
S7,2020-09-23,56
S8,2020-09-23,37
S9,2020-09-23,55
S10,2020-09-23,38
S11,2020-09-23,61
S12,2020-09-23,56
S13,2020-09-23,45
S14,2020-09-23,12
S15,2020-09-23,19
S1,2020-09-24,37
S2,2020-09-24,52
S3,2020-09-24,15
S4,2020-09-24,21
S5,2020-09-24,55
S6,2020-09-24,36
S7,2020-09-24,56
S8,2020-09-24,18
S9,2020-09-24,27
S10,2020-09-24,20
S11,2020-09-24,54
S12,2020-09-24,27
S13,2020-09-24,28
S14,2020-09-24,41
S15,2020-09-24,21
S1,2020-09-25,42
S2,2020-09-25,15
S3,2020-09-25,17
S4,2020-09-25,42
S5,2020-09-25,58
S6,2020-09-25,55
S7,2020-09-25,64
S8,2020-09-25,40
S9,2020-09-25,15
S10,2020-09-25,37
S11,2020-09-25,42
S12,2020-09-25,57
S13,2020-09-25,24
S14,2020-09-25,54
S15,2020-09-25,60
S1,2020-09-26,64
S2,2020-09-26,61
S3,2020-09-26,64
S4,2020-09-26,59
S5,2020-09-26,47
S6,2020-09-26,34
S7,2020-09-26,27
S8,2020-09-26,14
S9,2020-09-26,51
S10,2020-09-26,54
S11,2020-09-26,26
S12,2020-09-26,19
S13,2020-09-26,27
S14,2020-09-26,18
S15,2020-09-26,20
S1,2020-09-27,57
S2,2020-09-27,38
S3,2020-09-27,60
S4,2020-09-27,43
S5,2020-09-27,60
S6,2020-09-27,56
S7,2020-09-27,49
S8,2020-09-27,12
S9,2020-09-27,18
S10,2020-09-27,28
S11,2020-09-27,37
S12,2020-09-27,21
S13,2020-09-27,10
S14,2020-09-27,48
S15,2020-09-27,23
S1,2020-09-28,43
S2,2020-09-28,41
S3,2020-09-28,28
S4,2020-09-28,31
S5,2020-09-28,20
S6,2020-09-28,57
S7,2020-09-28,27
S8,2020-09-28,33
S9,2020-09-28,59
S10,2020-09-28,52
S11,2020-09-28,25
S12,2020-09-28,10
S13,2020-09-28,31
S14,2020-09-28,52
S15,2020-09-28,42
S1,2020-09-29,45
S2,2020-09-29,47
S3,2020-09-29,31
S4,2020-09-29,60
S5,2020-09-29,45
S6,2020-09-29,14
S7,2020-09-29,61
S8,2020-09-29,46
S9,2020-09-29,58
S10,2020-09-29,14
S11,2020-09-29,25
S12,2020-09-29,59
S13,2020-09-29,56
S14,2020-09-29,40
S15,2020-09-29,19
S1,2020-09-30,23
S2,2020-09-30,26
S3,2020-09-30,30
S4,2020-09-30,37
S5,2020-09-30,21
S6,2020-09-30,49
S7,2020-09-30,56
S8,2020-09-30,60
S9,2020-09-30,63
S10,2020-09-30,27
S11,2020-09-30,39
S12,2020-09-30,14
S13,2020-09-30,10
S14,2020-09-30,56
S15,2020-09-30,45
S1,2020-10-01,56
S2,2020-10-01,28
S3,2020-10-01,24
S4,2020-10-01,41
S5,2020-10-01,48
S6,2020-10-01,55
S7,2020-10-01,54
S8,2020-10-01,14
S9,2020-10-01,13
S10,2020-10-01,19
S11,2020-10-01,46
S12,2020-10-01,60
S13,2020-10-01,34
S14,2020-10-01,27
S15,2020-10-01,60
S1,2020-10-02,63
S2,2020-10-02,36
S3,2020-10-02,57
S4,2020-10-02,50
S5,2020-10-02,39
S6,2020-10-02,63
S7,2020-10-02,44
S8,2020-10-02,58
S9,2020-10-02,41
S10,2020-10-02,57
S11,2020-10-02,54
S12,2020-10-02,52
S13,2020-10-02,33
S14,2020-10-02,42
S15,2020-10-02,15
S1,2020-10-03,64
S2,2020-10-03,61
S3,2020-10-03,54
S4,2020-10-03,23
S5,2020-10-03,23
S6,2020-10-03,61
S7,2020-10-03,44
S8,2020-10-03,24
S9,2020-10-03,57
S10,2020-10-03,28
S11,2020-10-03,33
S12,2020-10-03,21
S13,2020-10-03,27
S14,2020-10-03,28
S15,2020-10-03,39
S1,2020-10-04,53
S2,2020-10-04,31
S3,2020-10-04,43
S4,2020-10-04,12
S5,2020-10-04,28
S6,2020-10-04,13
S7,2020-10-04,22
S8,2020-10-04,25
S9,2020-10-04,27
S10,2020-10-04,46
S11,2020-10-04,21
S12,2020-10-04,35
S13,2020-10-04,47
S14,2020-10-04,48
S15,2020-10-04,58
S1,2020-10-05,13
S2,2020-10-05,31
S3,2020-10-05,37
S4,2020-10-05,63
S5,2020-10-05,19
S6,2020-10-05,50
S7,2020-10-05,16
S8,2020-10-05,21
S9,2020-10-05,14
S10,2020-10-05,63
S11,2020-10-05,28
S12,2020-10-05,21
S13,2020-10-05,64
S14,2020-10-05,31
S15,2020-10-05,16
